;DBO.33;DBO.34;DBO.35;DBO.36;DBO.43;DBO.44;DBO.47;DBO.48;DBO.51;DBO.52;DBO.55;DBO.56;DBO.61;DBO.62;DBO.73;DBO.74;DBO.77;DBO.78;DBO.81;DBO.82
hsa-miR-148b-3p;4,54611855;4,750162844;4,60792762;4,765547138;4,408275664;4,563658391;4,346677368;4,469392191;4,916618675;4,919235417;4,414005912;4,566471013;4,20278895;4,802084104;4,843791912;3,450307704;5,164576425;4,11064688;4,290696315;3,964870591
hsa-miR-148b-5p;3,677299107;4,263293561;4,317407858;3,936639814;4,577855978;4,36230608;4,046436068;4,403227787;3,943630251;3,914157453;3,212744619;3,885134724;3,800203191;4,254995528;4,413571689;3,802345232;4,509393524;3,753967133;3,81707065;4,356032088
hsa-miR-150-5p;3,91367652;3,91851749;4,250077182;4,918141395;3,834862272;4,287174425;3,957222095;4,180055387;4,046191027;5,200643454;5,30236126;7,440244718;4,133053582;3,66582906;5,047293834;4,986141106;4,223539589;3,60045415;5,394947864;5,131821597
hsa-miR-151a-3p;10,90311409;10,40931534;10,53874861;10,83777371;10,87659098;11,0036244;10,75310424;10,60033869;11,28660139;10,86638583;11,4527105;10,66196036;10,60442725;10,41157068;10,47475264;10,76172417;10,76962879;11,24817974;11,16115213;11,29821467
hsa-miR-151a-5p;8,265193685;8,165047094;8,449679539;7,999001756;8,409013069;7,77214212;8,264334313;7,959612358;7,717382773;8,087098029;7,316704648;7,870479896;8,422190612;8,284087041;7,842894493;8,268662444;8,617734066;8,512328621;8,258847373;8,700359509
hsa-miR-152-3p;3,981820165;3,859135618;3,93332038;4,154542538;3,834862272;3,814378079;3,10281927;3,352043066;2,555028986;3,914157453;3,839077562;4,428860334;3,581755911;3,999899641;2,555028986;3,450307704;4,110820573;3,886618046;3,46118584;3,867155552
hsa-miR-153-3p;2,555028986;3,153992122;3,092892362;3,05980467;2,555028986;2,555028986;3,325205327;3,122138887;4,046191027;3,253171485;2,555028986;3,387123554;4,133053582;3,12062091;3,531177434;3,450307704;3,481428941;4,11064688;2,555028986;3,867155552
hsa-miR-1538;2,555028986;2,555028986;2,555028986;3,05980467;2,555028986;3,542400682;3,325205327;3,122138887;2,555028986;2,555028986;3,675726016;2,555028986;3,581755911;3,12062091;4,059028637;2,555028986;2,555028986;2,555028986;2,555028986;3,106002321
hsa-miR-154-3p;2,555028986;2,980069334;2,555028986;2,555028986;2,555028986;3,132418028;3,325205327;4,095215399;3,702598046;3,253171485;2,555028986;2,555028986;2,555028986;2,555028986;2,555028986;3,802345232;2,555028986;2,555028986;2,555028986;3,106002321
hsa-miR-154-5p;3,677299107;3,396220833;3,476306879;2,555028986;4,727522223;4,841662637;4,411283192;4,095215399;3,702598046;4,810632046;3,212744619;4,096210468;4,650997245;4,527580674;4,306678434;4,271423705;3,985739817;4,297734177;3,81707065;4,356032088
hsa-miR-15a-3p;3,840853886;3,728924343;3,613122211;3,853128365;3,210484289;3,814378079;3,632020121;3,352043066;4,52271333;3,742292911;4,31944537;4,030248218;3,288527189;3,349935536;3,911477448;4,061340153;3,215619227;4,207904927;3,46118584;2,555028986
hsa-miR-15a-5p;3,762465377;3,796139885;3,83751626;3,420745234;3,47434292;3,542400682;3,325205327;4,00352778;2,555028986;3,406050547;3,212744619;3,511603128;3,076452259;3,12062091;3,911477448;2,555028986;3,680471447;3,60045415;2,555028986;2,555028986
hsa-miR-15b-3p;6,882982146;6,842042688;6,462900744;7,210998796;6,497467687;6,777337504;6,335982125;6,150903706;6,909373837;6,866686877;6,222461904;6,651181197;6,718755884;6,672223517;6,4398151;6,894221237;6,556703532;7,077425279;6,536593062;6,27136679
